Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
andremion/Music-Player;https://github.com/andremion/Music-Player;Java;06/05/2016 21:55;4;3401;2;84709768;94357577;8444196;1702514;3.5;2.0;3.0;19.5
yigit/android-priority-jobqueue;https://github.com/yigit/android-priority-jobqueue;Java;20/06/2014 00:12;6;3400;0;84727557;94378267;8446835;1702940;3.0;1.0;2.0;13.0
davideas/FlexibleAdapter;https://github.com/davideas/FlexibleAdapter;Java;02/05/2015 22:00;5;3394;30;84758656;94413780;8450923;1704178;4.0;1.0;4.0;16.0
apache/shiro;https://github.com/apache/shiro;Java;29/08/2009 08:00;11;3386;0;84850659;94520231;8463935;1707327;4.0;1.0;3.0;14.0
ivacf/archi;https://github.com/ivacf/archi;Java;11/09/2015 16:13;5;3373;0;84854982;94525628;8464744;1707638;3.5;1.0;3.5;16.5
lygttpod/SuperTextView;https://github.com/lygttpod/SuperTextView;Java;19/10/2016 04:06;4;3370;38;84865585;94538329;8466558;1707950;2.0;1.0;1.0;5.0
macrozheng/springcloud-learning;https://github.com/macrozheng/springcloud-learning;Java;07/09/2019 02:36;1;3363;0;84876120;94550968;8468288;1708426;4.0;1.0;1.0;7.0
jhalterman/failsafe;https://github.com/jhalterman/failsafe;Java;30/06/2015 00:56;5;3354;0;84888392;94565408;8470157;1708916;5.0;1.0;4.0;22.0
CameraKit/blurkit-android;https://github.com/CameraKit/blurkit-android;Java;06/11/2016 03:14;4;3353;3;84889991;94567641;8470531;1709207;5.0;1.0;2.5;23.5
google/open-location-code;https://github.com/google/open-location-code;Java;30/09/2014 18:26;6;3350;5;84910612;94592272;8473395;1710344;3.0;1.0;2.0;16.0
crossoverJie/SSM;https://github.com/crossoverJie/SSM;Java;21/06/2016 10:09;4;3342;10;85053717;94759982;8497084;1712308;2.0;1.0;5.0;19.0
react-native-webrtc/react-native-webrtc;https://github.com/react-native-webrtc/react-native-webrtc;Java;27/09/2015 10:57;5;3340;31;85091054;94800107;8499119;1713150;2.0;1.0;4.0;15.0
meefik/linuxdeploy;https://github.com/meefik/linuxdeploy;Java;21/08/2012 04:49;8;3332;37;85102108;94813075;8500512;1713726;5.0;2.0;7.0;29.0
stfalcon-studio/ChatKit;https://github.com/stfalcon-studio/ChatKit;Java;02/02/2017 09:37;4;3330;1;85111451;94824541;8502321;1714134;3.0;2.0;3.0;14.0
gyoogle/tech-interview-for-developer;https://github.com/gyoogle/tech-interview-for-developer;Java;09/06/2019 04:42;1;3323;0;85123397;94845290;8510022;1715555;1.5;1.0;7.5;41.5
Snailclimb/springboot-guide;https://github.com/Snailclimb/springboot-guide;Java;28/11/2018 01:05;2;3314;0;85141348;94868596;8513889;1717151;4.0;1.0;1.0;8.0
Ereza/CustomActivityOnCrash;https://github.com/Ereza/CustomActivityOnCrash;Java;04/07/2014 19:46;6;3311;11;85143922;94871866;8514357;1717394;3.0;1.0;2.0;14.0
actorapp/actor-platform;https://github.com/actorapp/actor-platform;Java;21/06/2015 00:29;5;3310;97;85546922;95344546;8580803;1721874;3.0;1.0;4.0;17.0
pmd/pmd;https://github.com/pmd/pmd;Java;11/07/2012 18:03;8;3301;62;85958558;95821128;8641115;1732373;3.0;2.0;3.0;11.0
jitsi/jitsi;https://github.com/jitsi/jitsi;Java;24/04/2013 17:37;7;3297;7;86612533;96557980;8717208;1739967;3.0;1.0;5.0;20.0
