Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
NanoHttpd/nanohttpd;https://github.com/NanoHttpd/nanohttpd;Java;10/08/12 21:52:42;8;5832;3;98816359;112150961;11788960;2764980;3.0;1.0;4.0;21.0
signalapp/Signal-Server;https://github.com/signalapp/Signal-Server;Java;09/12/13 07:10:36;7;5813;0;98856144;112199146;11797180;2765245;3.0;1.0;3.5;17.0
NLPchina/ansj_seg;https://github.com/NLPchina/ansj_seg;Java;05/09/12 05:56:24;8;5811;3;100466442;113815869;11803398;2786617;4.0;1.0;5.0;28.0
wildfirechat/server;https://github.com/wildfirechat/server;Java;23/01/19 15:21:28;2;5807;33;100565702;113926067;11813768;2787202;4.0;1.0;6.0;24.0
springside/springside4;https://github.com/springside/springside4;Java;23/02/12 08:39:03;9;5800;3;100588754;113953451;11817867;2787574;2.0;1.0;4.0;23.0
processing/processing;https://github.com/processing/processing;Java;24/01/13 21:17:22;8;5777;48;100785117;114190768;11856950;2791516;2.0;1.0;3.0;14.0
google/j2objc;https://github.com/google/j2objc;Java;30/01/14 20:19:56;7;5755;38;103948955;117579412;12057234;2843915;1.0;1.0;4.0;17.0
flyway/flyway;https://github.com/flyway/flyway;Java;14/12/12 18:43:22;8;5744;88;103995499;117637221;12067823;2844623;5.0;1.0;5.0;18.5
JakeWharton/u2020;https://github.com/JakeWharton/u2020;Java;14/11/13 11:58:23;7;5730;0;104004371;117647748;12069274;2844883;4.0;1.0;3.0;13.0
spring-projects/spring-security;https://github.com/spring-projects/spring-security;Java;10/01/12 21:50:57;9;5723;57;104533891;118254092;12135756;2859566;5.0;1.0;3.0;15.0
zouzg/mybatis-generator-gui;https://github.com/zouzg/mybatis-generator-gui;Java;08/05/16 22:39:39;4;5709;16;104538612;118259726;12136483;2859770;5.0;1.0;7.0;40.0
json-path/JsonPath;https://github.com/json-path/JsonPath;Java;24/01/11 13:19:19;10;5707;6;104614056;118339632;12140664;2860064;3.0;1.0;4.0;16.0
k9mail/k-9;https://github.com/k9mail/k-9;Java;04/02/11 02:40:00;10;5704;95;104793801;118545460;12165650;2861627;3.0;1.0;4.0;18.0
