Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
chrisbanes/ActionBar-PullToRefresh;https://github.com/chrisbanes/ActionBar-PullToRefresh;Java;04/06/2013 14:44;7;3214;0;459743;530995;52007;10200;5.0;2.0;3.0;27.0
oracle/opengrok;https://github.com/oracle/opengrok;Java;07/01/2013 11:49;8;3214;161;642881;743366;74647;20016;3.0;1.0;4.0;23.0
bilibili/boxing;https://github.com/bilibili/boxing;Java;22/01/2017 07:04;4;3213;1;653677;756239;76300;20520;4.0;1.0;5.0;17.0
code4craft/tiny-spring;https://github.com/code4craft/tiny-spring;Java;10/01/2014 16:37;7;3213;0;655443;758704;76716;20813;2.0;1.0;2.0;11.0
luojilab/DDComponentForAndroid;https://github.com/luojilab/DDComponentForAndroid;Java;07/09/2017 05:48;3;3213;4;658846;763470;77534;21370;2.0;1.0;3.0;12.0
googlemaps/android-maps-utils;https://github.com/googlemaps/android-maps-utils;Java;17/05/2013 00:08;7;3204;17;687193;796112;81198;22266;5.0;1.0;6.0;33.5
Exrick/xboot;https://github.com/Exrick/xboot;Java;23/04/2018 14:44;2;3200;5;689549;799328;81767;22568;6.0;1.0;2.0;11.0
querydsl/querydsl;https://github.com/querydsl/querydsl;Java;05/08/2011 06:46;9;3197;32;871566;1018523;118501;23196;3.0;1.0;2.0;12.0
hope-for/hope-boot;https://github.com/hope-for/hope-boot;Java;17/10/2018 07:50;2;3196;2;982853;1142826;130487;25708;4.0;1.0;3.0;13.0
tuguangquan/mybatis;https://github.com/tuguangquan/mybatis;Java;03/11/2014 04:51;6;3195;0;1045388;1215675;140369;26697;2.0;1.0;4.0;17.0
yangfuhai/afinal;https://github.com/yangfuhai/afinal;Java;17/10/2012 08:10;8;3195;0;1050108;1221142;140833;27108;2.0;1.0;6.5;25.0
ragunathjawahar/android-saripaar;https://github.com/ragunathjawahar/android-saripaar;Java;08/09/2012 11:52;8;3190;3;1063328;1236867;142984;27507;3.0;2.0;4.0;17.5
pengjianbo/GalleryFinal;https://github.com/pengjianbo/GalleryFinal;Java;21/09/2015 07:01;5;3181;4;1070057;1245277;144256;27950;3.0;1.0;4.0;17.0
stylefeng/Guns;https://github.com/stylefeng/Guns;Java;06/07/2017 05:19;3;3178;0;1090087;1268297;146870;29124;3.0;1.0;5.0;17.0
cucumber/cucumber;https://github.com/cucumber/cucumber;Java;21/06/2015 04:37;5;3170;40;1333179;1544286;172316;39108;1.0;1.0;1.0;8.0
hmkcode/Android;https://github.com/hmkcode/Android;Java;02/09/2013 16:12;7;3164;0;1342553;1555838;174178;39613;5.0;1.5;3.0;22.0
daimajia/AndroidViewHover;https://github.com/daimajia/AndroidViewHover;Java;08/08/2014 12:04;6;3161;4;1344521;1558670;174651;40017;2.0;1.0;2.0;9.0
ittianyu/BottomNavigationViewEx;https://github.com/ittianyu/BottomNavigationViewEx;Java;12/11/2016 08:39;4;3160;19;1348048;1563246;175329;40409;3.0;1.0;3.0;13.0
M66B/NetGuard;https://github.com/M66B/NetGuard;Java;24/10/2015 17:59;5;3159;128;1378695;1598548;179495;41040;2.0;1.0;2.0;11.0
google/data-transfer-project;https://github.com/google/data-transfer-project;Java;04/01/2018 21:27;3;3157;36;1440295;1669187;187442;42160;3.0;1.0;4.0;18.0
kevinsawicki/http-request;https://github.com/kevinsawicki/http-request;Java;21/10/2011 19:54;9;3157;0;1448752;1679011;188485;42640;2.0;1.0;1.0;6.0
UnevenSoftware/LeafPic;https://github.com/UnevenSoftware/LeafPic;Java;07/01/2016 17:24;5;3156;7;1472083;1706935;192726;43318;3.0;1.0;3.0;15.0
runelite/runelite;https://github.com/runelite/runelite;Java;30/04/2016 20:48;4;3154;0;1814808;2078911;221355;44250;3.0;1.0;3.0;18.0
lisawray/groupie;https://github.com/lisawray/groupie;Java;01/09/2016 20:59;4;3153;26;1823214;2089438;223139;44666;3.0;1.0;4.0;14.5
zzz40500/GsonFormat;https://github.com/zzz40500/GsonFormat;Java;31/10/2014 14:16;6;3152;4;1830480;2097829;223957;44986;1.0;1.0;2.0;12.0
code4craft/netty-learning;https://github.com/code4craft/netty-learning;Java;19/09/2013 02:24;7;3143;0;1941946;2224133;238508;46026;4.0;1.0;4.0;20.0
liuyubobobo/Play-with-Algorithms;https://github.com/liuyubobobo/Play-with-Algorithms;Java;05/07/2016 18:16;4;3139;0;2414379;2698759;240258;46474;3.0;1.0;11.0;37.0
networknt/light-4j;https://github.com/networknt/light-4j;Java;09/09/2016 22:28;4;3137;130;2491360;2788306;251098;49153;2.0;1.0;4.0;22.0
apache/cordova-android;https://github.com/apache/cordova-android;Java;28/11/2012 08:00;8;3136;0;2523431;2825634;255622;49944;2.0;1.0;2.0;10.0
hitherejoe/animate;https://github.com/hitherejoe/animate;Java;16/11/2015 15:06;5;3132;0;2528139;2831555;256500;50314;6.0;2.0;4.0;21.0
airbnb/native-navigation;https://github.com/airbnb/native-navigation;Java;16/09/2016 17:16;4;3126;0;2543121;2850110;259356;51101;3.0;1.0;2.0;10.0
knowm/XChange;https://github.com/knowm/XChange;Java;02/02/2012 10:48;9;3123;0;3123357;3493520;315522;51750;4.0;1.0;4.0;19.0
jfinal/jfinal;https://github.com/jfinal/jfinal;Java;25/04/2012 08:48;8;3120;0;3133928;3506358;317468;52099;3.0;1.0;6.0;23.0
ethanhua/Skeleton;https://github.com/ethanhua/Skeleton;Java;30/07/2017 06:42;3;3120;0;3135865;3509050;317855;52488;3.0;1.0;2.0;8.0
linkedin/databus;https://github.com/linkedin/databus;Java;17/12/2012 17:49;8;3116;0;3366695;3769444;346186;53931;3.0;1.0;6.0;26.0
facebookarchive/network-connection-class;https://github.com/facebookarchive/network-connection-class;Java;18/03/2015 02:16;5;3114;2;3368563;3771986;346539;54262;2.5;1.0;3.5;20.0
mock-server/mockserver;https://github.com/mock-server/mockserver;Java;26/02/2013 06:09;8;3113;0;3521933;3944387;364206;55468;6.0;1.0;6.0;26.0
